Document Name,Date,Status,Arbitrators,Arbitrator Status,Case Name
Partially Dissenting Opinion of Professor Brigitte Stern,,Decided in favor of investor,,,"Quiborax S.A., Non-Metallic Minerals S.A. v. Plurinational State of Bolivia, ICSID Case No. ARB/06/2"
Dissent on Liability and Quantum of Professor Philippe Sands QC,,Pending (Annulment),,,"RENERGY S.à r.l. v. Kingdom of Spain, ICSID Case No. ARB/14/18"
Dissenting Opinion of Robert Volterra,,Decided in favor of investor,"Lawrence Boo Geok Seng, Enrique Barros Bourie, Bertha Cooper-Rousseau","President of the Ad Hoc Committee, Member, Member","RREEF Infrastructure (G.P.) Limited and RREEF Pan-European Infrastructure Two Lux S.à r.l. v. Kingdom of Spain, ICSID Case No. ARB/13/30"
Dissent in respect of the Second Rectification Request of Arbitrator Stuart E. Eizenstat,,Decided in favor of investor,"James R. Crawford, Stuart E. Eizenstat, Andrés Rigo Sureda","Appointed by the State, Appointed by the investor, President","Railroad Development Corporation (RDC) v. Republic of Guatemala, ICSID Case No. ARB/07/23"
Dissenting Opinion of Prof. Joaquìn Morales Godoy (Award),,Decided in favor of State,,,"Renée Rose Levy v. Republic of Peru, ICSID Case No. ARB/10/17"
Dissenting Opinion of Professor Bryan P. Schwartz concerning the apportionment of costs between the Disputing Parties (Final Award),,Decided in favor of investor,"Edward C. Chiasson, Bryan Schwartz, J. Martin Hunter","Appointed by the State, Appointed by the investor, President","S.D. Myers, Inc. v. Government of Canada"
Dissenting Opinion by Arbitrator Pierre-Marie Dupuy,,Pending (Annulment),"Eduardo Zuleta Jaramillo, Guido Santiago Tawil, Pierre-Marie Dupuy","President, Appointed by the investor, Appointed by the State","STEAG GmbH v. Kingdom of Spain, ICSID Case No. ARB/15/4"
Dissenting Opinion of Tadeusz Szurski,,Decided in favor of investor,,,Saar Papier Vertriebs GmbH v. Republic of Poland (I)
Dissenting Opinion of Tadeusz Szurski,,Decided in favor of investor,,,Saar Papier Vertriebs GmbH v. Republic of Poland (I)
Concurring and Dissenting Opinion of Charles N. Brower,,Decided in favor of investor,"Klaus M. Sachs, Gabriel Bottini, Charles N. Brower","President, Appointed by the State, Appointed by the investor","Saint-Gobain Performance Plastics Europe v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/12/13"
Partial Dissenting Opinion of Mr. Marc Lalonde (Award),,Decided in favor of investor,"Sandra Morelli Rico, Marc Lalonde, Francisco Orrego Vicuña","Appointed by the State, Appointed by the investor, President","Sempra Energy International v. Argentine Republic, ICSID Case No. ARB/02/16"
Dissenting Opinion of the arbitrator R. Oreamuno Blanco on one aspect of the basis for the decision (Decision on Jurisdiction),,Decided in favor of investor,,,"Serafín García Armas and Karina García Gruber v. The Bolivarian Republic of Venezuela, PCA Case No. 2013-03"
Dissenting Opinion of Professor Thomas Clay,,Decided in favor of State,,,Sergei Viktorovich Pugachev v. The Russian Federation
Dissenting Opinion of Judge O. Thomas Johnson,,Decided in favor of State,,,"Silver Ridge Power BV v. Italian Republic, ICSID Case No. ARB/15/37"
